"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,34.2,35.6,45.3,60.7,52,66.2,NA,53.5,73.6,42.7,84.1,71.5,135.5,114.4,63,72.6,54.6,33.7,57.5,135.5
"historical",1851,43.5,37.8,70.1,60,52.7,60.2,28.9,36.3,51,34.2,61.8,72.3,55.2,107.1,35.2,49,86.8,80.1,45.6,107.1
"historical",1852,40.8,57.5,70.4,43.6,82.7,56.8,25.6,52.8,37.1,45.6,74.7,85.9,128.1,75.2,41.4,75,71.1,78.2,45.4,128.1
"historical",1853,61.5,28.3,43.5,71.2,55.5,59.9,27.9,54.4,78.1,70.3,49.6,104.5,83.5,104.6,66.5,66.3,51.6,55.9,82.2,104.6
"historical",1854,77.5,69.2,37.5,75.1,48.6,44.1,31.8,58.4,39.4,30,60.2,89.3,119.9,76.2,63.8,57.3,71.5,66.1,52.8,119.9
"historical",1855,47.6,39.9,43.6,64.3,59.9,57.8,50.9,60,50.1,29.7,89.8,84.6,91.3,72.3,47.7,50.9,89.4,69.6,65.6,91.3
"historical",1856,35.2,32.1,41.4,53.4,50.8,54.5,32.6,61.5,54.3,52.7,65.5,60.3,92.1,105.7,45.2,89.3,87.3,62.6,33.4,105.7
"historical",1857,52.3,58.9,41.6,81.2,65.5,81.4,34.1,51.4,48.6,60.7,51.7,84.4,77.6,99.5,43.9,53.9,72.4,86.8,53.9,99.5
"historical",1858,31.3,62.1,54.6,83.6,65.3,54.9,52.8,42.9,58.3,40.8,68.3,58.4,172.5,105,45.4,58,70.1,60.3,48.2,172.5
"historical",1859,42.4,44.1,48,72.1,56.9,73.9,36.3,58,38.4,42.8,58.6,79.7,92.7,117.3,61.2,46.9,89.2,68.7,40.1,117.3
"historical",1860,38.4,49.9,56.7,57.1,64.7,60.2,37.1,62.4,62.2,25.5,54.8,70.9,102,91.5,54.2,59.9,76.7,46.7,60.2,102
"historical",1861,43.1,33.6,97.8,63.7,61.5,63.2,24.9,102.1,47.1,29.7,61.7,66.1,107.1,94.9,46.5,60.6,56.6,71.6,51.6,107.1
"historical",1862,54.7,30.6,42.1,52.5,46.6,57.3,45.7,49.4,66.1,31.3,74.9,49.9,105.5,102,75.6,56.1,66.7,61.3,43.1,105.5
"historical",1863,43,32.6,49.1,79,38.4,56.9,38.4,51.4,49.7,23.4,57.5,68.5,85.3,80.2,42.6,76.5,49.5,48.7,38.2,85.3
"historical",1864,52.2,77.5,57.1,60.5,65.5,76.3,37.6,41.9,68.4,35.8,60.8,70.8,85.8,115.4,100.3,53.1,113.6,52.7,45.5,115.4
"historical",1865,50.6,57.2,47.7,46.6,79.5,53.6,30.5,47.1,51.8,43.8,80.3,76,113.6,79.9,43.3,67.8,70,80.4,72,113.6
"historical",1866,36.2,35.8,40.8,73.3,76.8,55.9,31.2,75,58.6,23.1,88.4,80.3,100.4,111.3,42.5,51.4,71.8,55.5,73.4,111.3
"historical",1867,47.1,57.4,60,62.2,65.9,57.7,43.8,65.2,68,58.8,53.9,66.4,141.4,71.4,52.4,51.4,72.8,68.9,56.3,141.4
"historical",1868,42.8,45.4,90.1,43.4,41.1,60.2,41.5,76.4,40.1,41.2,95.7,88.2,99.8,105.2,52.8,50.5,71.6,69.3,51.1,105.2
"historical",1869,30.1,52,39.9,51.5,34.4,51.6,42,69.4,55.6,46.6,48.5,105.9,76.6,98,50.3,42.9,69.6,45.7,59.6,105.9
"historical",1870,37.7,55.1,72.8,66.2,50,72.7,27.2,47.1,42.5,35.8,57.7,67.8,120.5,97.8,45.1,62.1,65.1,65.2,53.5,120.5
"historical",1871,39.4,49.3,62.4,63.8,51.5,50.8,31.6,64.6,60.9,43,74.7,78.7,77.4,105.9,52.7,53.8,79.3,84.8,40.7,105.9
"historical",1872,46.9,38.4,54.5,68.6,45.1,62.8,45.7,55.4,57.4,40.4,83.8,73.3,108.8,72.4,52,70.6,72.2,54.5,49,108.8
"historical",1873,48.5,37.9,49.7,61.6,60,50,35.7,43.5,68.8,51,61.9,86.9,85.8,93.1,57.9,60.2,94.8,47.2,48.4,94.8
"historical",1874,46.8,96.1,49,59.2,49.4,75.7,30.1,76.7,56.3,32.3,56.8,53.2,161.2,74.7,55.9,61,59.6,60.8,49.2,161.2
"historical",1875,57.9,50.2,64.3,57.4,51.3,58,41.5,58.1,55.1,42,105.9,85.5,112.9,114.9,48.5,61.2,58,51,43.4,114.9
"historical",1876,54,30.1,51.9,53.6,44.4,57.5,49.2,80.7,64.9,56.9,73.4,66.6,115.1,125.1,56.1,75.8,77.1,77.2,41.6,125.1
"historical",1877,44.3,34.7,47.4,68.2,59,77.8,38,43.3,48.2,44.5,56,93.9,145.9,111.1,42,70.6,86,43.6,42.8,145.9
"historical",1878,64.2,38.6,50.8,61.9,49.5,70.3,36.6,41.5,56.9,33.7,79.5,68.7,70.5,83.3,51,61.9,65.8,94.9,40.3,94.9
"historical",1879,34.7,49.2,54.1,73.3,66.3,72.5,49.4,50.9,48.3,34.4,66.2,100.3,141.1,111.2,52.2,71.4,96.7,73.7,69.8,141.1
"historical",1880,57.6,42.5,66.3,63.1,61.9,53.2,32,74.3,46.2,45.9,53.4,74,103.2,87.9,34.5,57,63,77.3,58.9,103.2
"historical",1881,81.9,70.3,55,48.8,59.8,49.2,31.8,63.9,33.9,40.3,69.8,98.7,78.7,127,89.9,49.1,63.5,64.3,47.7,127
"historical",1882,34.3,53.6,43.3,73.3,66,82.7,37.2,59.3,49.5,27.3,58.9,106.7,137.1,92.5,49.9,70,120.3,57.4,53,137.1
"historical",1883,39.1,42.3,88.7,39.6,82,60.9,24.5,68.4,62.8,46.8,51.3,66.7,92,88.3,57.7,50.5,56.2,88.9,44,92
"historical",1884,60.3,75.6,66.5,56,46.3,55.8,49,67.5,52.7,35.8,86.1,60.1,71.2,77.9,45.9,74.4,88.2,53.9,39.7,88.2
"historical",1885,47.2,58.7,34.5,58.1,49.3,48.6,31.6,74.9,48.7,36.9,50.5,128.7,119,86.7,62.2,72,51.6,49.1,53.9,128.7
"historical",1886,47.7,63.8,49.9,89.4,60.4,57.9,23,75.8,52,65.3,74.5,73.3,110.6,85.8,59.3,69.7,97.7,70.8,34,110.6
"historical",1887,36.6,40.5,48.1,65.9,47.9,74.1,32,40.9,52.7,23.4,59.9,73.7,66.8,94.2,40,68.3,93.3,55.9,65.3,94.2
"historical",1888,48.2,65.4,67.3,76.3,63.6,74.3,39.7,54.7,68.9,34.6,58.6,74.3,85.3,73.2,42.4,52.7,104.8,62.7,53.9,104.8
"historical",1889,72.7,43.6,67.6,90.1,56.3,106.1,28.6,51.7,64.7,52.2,71.5,90.2,160.2,82.5,58.9,50.7,85.6,72.8,43.3,160.2
"historical",1890,49.3,56.7,47.4,60.5,52.2,61.4,36.6,50.5,71.6,71.8,83.8,88.7,132.8,107.5,79,54.3,87.5,76.2,36,132.8
"historical",1891,40.5,55.3,69.5,111.7,59.4,56.1,38.6,47.1,24.3,34.6,57.4,88.5,100.9,71.6,64.9,69.5,97.6,56.5,51.4,111.7
"historical",1892,40.3,55,40.9,94,86.4,54.2,40.6,58.2,53.3,32.5,68.5,81.4,132.7,121.8,66.1,53.1,59.4,68,52.5,132.7
"historical",1893,58.7,65.5,45.8,42.4,53.9,53.9,47,47.7,44.1,44.7,54.4,121.2,131.3,87.4,55.6,51,78.5,55.8,68.7,131.3
"historical",1894,36.7,59.5,61.7,68.5,69.7,40.2,29.3,38.7,50.3,45.9,64,81.8,70.3,67.3,40.6,64.8,57.4,52.8,37.3,81.8
"historical",1895,40.2,45.4,63.6,65.1,60.6,70,45.6,52,68.5,45.5,91,114.6,62.7,92.4,59.4,63.3,96.1,52.3,70,114.6
"historical",1896,60,95,103.9,50.6,50.3,83.4,41.5,49.7,46.8,45.3,62.8,97.3,119.9,89.4,51.5,77.2,78,51.6,58.9,119.9
"historical",1897,58.7,39.9,48.6,55.7,67.4,58.6,40.9,46.5,41.8,51.2,88.5,58.4,104.1,92,53.3,52.7,118.7,56.8,55.3,118.7
