"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,68.7,117.7,76.6,82,94.4,112.6,NA,96.7,97,66,122.7,120.6,114.2,109.9,107.1,68.8,104.3,62.7,69.7,94
"historical",1851,64.4,127.9,113.8,90.8,92.1,120.2,79,110.3,96.2,80.7,113.2,115.4,89.3,115.3,105.1,56.7,125,78.6,66.5,96.9
"historical",1852,76.2,155.3,86.4,71.6,108.8,120.9,65.1,108.7,62.9,65.9,100.5,103.5,135.7,96.3,125.8,70,148.8,88.9,71.6,98
"historical",1853,67.6,113.2,102.5,78.4,108.6,105.2,43,120.4,102.1,58.4,110.2,113,111.3,117.4,129.8,65.9,114.1,86.3,76.1,96
"historical",1854,77.3,127.9,74.5,96.7,99,117.1,71,97.8,87.2,64,105.3,135.7,128.3,99.6,129.3,77.4,143,89.5,75.6,99.8
"historical",1855,67.4,139.1,77.5,80.8,125.2,105.8,51.5,125.4,112.7,50.4,107.6,101.6,95.5,94.6,122,59.4,133.3,77.1,68.7,94.5
"historical",1856,73.5,102.8,97.6,68.9,117.8,108.5,96.3,100.8,91.2,59.1,137.7,97.1,104.9,123.3,136.1,72.3,144.9,77.4,50.2,97.9
"historical",1857,74.2,157.8,68.6,77.2,107.8,103.2,71.3,113.7,76.4,77.9,105.1,98.2,106.5,114.7,98.9,64.5,145.9,99.6,68.9,96.3
"historical",1858,63.9,167.7,88.4,90.9,114.5,130.2,67.8,115.6,87.8,52.4,127.2,93.1,142.9,105.8,127.9,76.3,120.5,84.3,63.3,101.1
"historical",1859,62,94.7,70.9,82.2,98.2,120.2,53.6,134.5,104.6,69.8,115.6,89.9,81.5,122.5,153.2,61.8,149.6,79.9,64.5,95.2
"historical",1860,69.1,96.8,83.2,76.2,108.7,103.2,66.2,98.2,88.8,62,91.1,105.3,111.2,95,123,64.7,130.6,83.6,66.5,90.7
"historical",1861,76.4,141.1,81.8,67.2,113.6,111.5,68.9,145.6,67.7,62.6,119.6,92.9,110.6,96.7,120.2,74.9,121.9,90.7,65.6,96.3
"historical",1862,67.9,102.9,63.3,71.6,115.3,134,63,96.4,88.6,79.6,129.9,98,113.4,97.2,118.2,68.2,131.6,76,76.3,94.3
