"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,47.3,114.6,108.7,60,61.7,51.2,NA,55,54,52.9,56.3,43.2,95.4,52.2,112.1,87,83.5,111.1,63.6,43.2
"historical",1851,48.5,144.9,44,58.1,93.3,53.6,69.9,85.8,50.4,95.5,48.4,49.6,91.2,51.7,111.1,37.2,134.7,106.5,63.9,37.2
"historical",1852,55.9,90.2,100.2,69.6,54.4,54.8,47.6,71.1,65.5,41.2,35.7,43,91.4,82.3,56.7,61.9,19.7,51.2,67.5,19.7
"historical",1853,69.6,69.2,131,43.9,53.2,44,29.6,106.6,62.5,77.3,42.4,74,89.3,51.3,91.3,44.8,89.6,56.6,24.6,24.6
"historical",1854,37.3,91.5,84.5,73.8,54.4,44.8,70.6,38.3,50.3,52.4,76.7,47.3,65.5,74.5,63.1,51.9,67.1,141.9,59.8,37.3
"historical",1855,37,85.6,76.8,53.2,38.9,39.9,46.3,119.7,64.1,64.2,28.4,70.8,96.2,50.6,35.6,28.3,85.9,65.2,38.9,28.3
"historical",1856,79.2,76.9,61.4,45.2,78.6,58.5,56.2,100.9,73.4,57.7,49.8,69.4,88.4,56.5,98.4,52.8,111.8,81.3,59.1,45.2
"historical",1857,77.6,75.3,57.8,38.6,39.4,55.5,44,93.6,47.4,54.7,61,53.2,110.8,50,59,65.1,126,103,17.9,17.9
"historical",1858,59,113.5,104.7,71.9,80.6,39.6,57.8,103.7,92.8,50.8,46.9,38.3,108.3,39,33.9,49.5,83.2,125.5,50.7,33.9
"historical",1859,49.9,90.1,108.4,79.1,53.9,65.8,51.4,56.4,22.5,77.8,70.4,39.5,59.6,66.9,70.4,48.2,48.7,82.4,22.8,22.5
"historical",1860,76.2,64.6,121.8,51.5,34.6,40,62.2,65,76.3,80.8,43.4,49.6,50.2,36.1,84,59.6,100.2,28.2,61.5,28.2
"historical",1861,46.3,80.3,87.2,68,22.8,38.2,59.6,137,41,53.1,64.4,85.3,95.2,63.7,78.2,62.9,126.5,100.2,31,22.8
"historical",1862,60.4,76.6,71.5,42.6,79.4,24.3,67.3,59.6,70.9,39,44.5,36.2,99.4,50.1,112.9,45.9,79.2,40.4,70.3,24.3
"historical",1863,63.6,73.6,64.1,77.1,62,86.9,57.8,111.3,63.5,46,41.8,20.3,78.3,57.1,71.2,40.1,132,130.4,55.3,20.3
"historical",1864,39.9,76.3,73.8,32.5,51.2,31,63.4,75.5,57.4,87.5,43.8,27.3,71.6,24.2,67.6,43.4,75.8,107.7,37.3,24.2
"historical",1865,47.1,84.9,110,17.8,57.4,30.9,59.1,44.3,58.6,83.7,40.9,58.7,77.6,53.1,86.9,50.5,128.1,86.3,43,17.8
"historical",1866,63.2,100.2,62.2,54.6,47.9,76.6,62.4,64.4,66.4,78.1,31.4,87,69.8,72.8,22.8,54.5,115,90,50.9,22.8
"historical",1867,50.2,34.1,64.1,32.3,32.3,117.9,86.6,75.4,21.3,78.5,67.1,82.3,88.9,44.9,68.9,61.3,117,137.1,51.3,21.3
"historical",1868,60.7,139.6,103.9,18.7,87.3,33,74.7,100,74,70.8,69.4,70.9,51.6,50.7,68.3,28.4,110.5,87,56.4,18.7
"historical",1869,64.2,58.8,95.7,50.9,66,69.5,85.1,89.6,45.5,98.4,40.1,68.1,87.2,50.9,67.2,51.2,124.9,137,45.4,40.1
"historical",1870,51.2,187.6,84.8,51.6,49.5,40.9,68,75.7,39.1,65.6,44.9,53.9,72.4,28,40.9,44.5,60.1,117.5,41.2,28
"historical",1871,45.5,98.3,57.2,56.7,46.9,62,56.3,70.3,70.3,37.1,31.8,54.5,78.8,65.7,68.4,58.1,31.2,85.2,60.1,31.2
"historical",1872,75.2,125.3,115.5,22.2,109.8,30.7,64,56.7,98.4,93.4,55.4,63.9,71.8,26.8,50.7,68,144.6,113.7,40.6,22.2
"historical",1873,57.2,72.3,87.5,29.2,43.1,50,55.3,89.5,30.9,44.1,77.7,16.7,91.2,38.4,70.1,60.7,82.7,96.2,22.3,16.7
"historical",1874,34.7,145.7,116.1,42.5,101.3,44.1,86.2,55.6,22.1,52.9,92.4,54,67.4,31.9,85.4,80.2,99.9,108.7,56.3,22.1
"historical",1875,74.9,78.2,66.9,48.2,44.6,103.9,69.2,118.4,40.5,115.8,62.2,110.8,82.4,40.6,79.3,44.2,90.3,100.4,64.8,40.5
"historical",1876,44.7,93,86.2,28.9,67,47.7,60.5,71.5,55.1,71.6,72.1,73.6,69.2,60.4,67.3,40.4,95,78.7,38.6,28.9
"historical",1877,75.2,101.9,144.1,66.3,51.2,75.6,68.4,80.4,40.1,64.7,35.2,45,89.6,45,76.7,55.5,66.1,68.8,61.4,35.2
"historical",1878,63.7,114.9,82.7,20.3,50,41.9,93.6,91.7,25.2,68.2,16,29.4,80.1,58.9,114.8,74.1,71.6,96.9,32.7,16
"historical",1879,35.4,113.6,80.8,52.5,57,53.6,56.2,77.9,47.6,88.7,60.6,49.9,61.9,67.4,74,52.1,76.3,75.8,50.5,35.4
"historical",1880,36.6,135.3,78.9,72,62.2,48.8,41.4,106.3,79.9,67.9,44.9,35.8,86.2,24.3,73.5,59.1,80.6,67.5,55.7,24.3
"historical",1881,39.4,121.3,67.6,52,90.9,43.3,96.2,27.7,28,93.2,21.2,47,99.2,43.8,97.9,49.1,114.9,80.4,54.9,21.2
"historical",1882,62.3,116.1,89.2,43.7,68.4,71.2,75.2,95.3,60.2,52.9,66.7,42.9,104.1,72.9,75.4,68.6,55.3,106.5,53.2,42.9
"historical",1883,44,131.6,131.8,59.1,79.5,50.1,69.5,75.2,38.4,81,50.5,57.7,77.8,56.4,81.1,61.2,81.9,111,50,38.4
"historical",1884,56.4,112,90.5,43.7,54,71.1,66.1,79.6,48.9,74.5,62.9,57.8,76.3,29.7,73.2,40.1,70.7,75,25.8,25.8
"historical",1885,61.6,126.1,88.7,44.8,65.8,36.4,50,56.3,100.8,47.5,36,63.7,82.2,47.4,78,30.9,84.3,51.2,36.1,30.9
"historical",1886,50.4,56.7,119,65.8,85.1,55.6,29.1,80.2,49.3,53.1,31.5,62,51.3,50.5,38.2,72.1,97.4,119,85.8,29.1
"historical",1887,31.5,111,100.2,53.9,67.4,59.3,42.6,68.3,51.7,39.7,53,59.6,32.4,56,79.2,26.6,54.1,78,65.6,26.6
"historical",1888,48,61,85.8,89.1,43.4,66.6,52.9,83,52.3,108.3,49.8,44.5,78.8,59.4,60.4,39.5,97.3,96.2,69.5,39.5
"historical",1889,74.6,110.6,49.4,60.3,42.9,51.2,48.4,80.5,56.5,85.4,30.6,57.7,68,48.5,40.5,66.4,88.8,78.7,66.2,30.6
"historical",1890,41.6,96.7,106.1,42.2,72.7,81.6,83.1,45.3,70.4,75,69.2,62.4,99.5,44.7,87.5,69.8,60.2,82.3,60.6,41.6
"historical",1891,90.3,85.8,106.3,33.9,58.4,73.7,84.7,132,44.3,70.8,50.8,22.2,80.2,38.3,74.7,29.7,117.4,128.4,51.8,22.2
"historical",1892,69.9,51.2,71.4,30.5,35.5,82.6,52,50.1,24,56.2,40.3,54.2,64.1,48.5,56.4,42.3,31.3,91.8,60.4,24
"historical",1893,55.8,68.6,85.5,30.3,56,41.4,47.7,71,67.3,87.7,82.9,72,86.3,43.5,56.5,49.5,104,38.7,54.5,30.3
"historical",1894,53.8,87.5,124.1,50.8,68.9,59.4,77.1,78.3,68.5,70,52.7,56.4,102.1,47.7,81.4,53.6,128.7,117.7,52.4,47.7
"historical",1895,79.5,116.3,111.3,45,87.7,45.6,97.2,87.7,73.8,75.9,52.9,90.3,60.7,61.6,88.3,75.7,66.1,42.1,42.1,42.1
"historical",1896,76.8,132.3,88.7,73,69.3,51.8,75.2,100.2,80,58.7,51.3,47.7,57.9,27.9,60.8,41.9,56.6,103,57.5,27.9
"historical",1897,73.7,121.5,94.3,56.3,86.4,31.5,71.9,36.9,48.3,43.7,37,50.6,86.8,58.1,73.3,20.2,75.4,70.8,29.7,20.2
"historical",1898,66.4,80.1,90.1,60,42.7,63.5,70.1,83.1,27.1,51.8,41.4,37.9,95.7,59.8,47.2,85.1,116.8,81.9,41.2,27.1
"historical",1899,47.1,100.5,85.2,65.3,49.2,51.6,90.1,63,63,78.5,56.8,53.7,54.4,47.6,73.9,78.3,100.1,96.5,40,40
"historical",1900,50.1,97.6,93.2,35,52.7,68.8,71.3,57.1,42,78.5,65.5,71.6,64.1,36.1,50.2,40.7,100.9,79.3,67.3,35
"historical",1901,77.2,59.7,52.5,43.7,78.9,55.9,49.5,138.4,27.7,46.1,63.5,50.4,72,69.1,35.8,53.1,79.6,90,48.1,27.7
"historical",1902,52.1,119.1,66.5,55.4,53.9,33.1,116.4,109.6,54.2,82.8,40.8,52.9,68,68.6,66.4,75,76.1,75.7,44.9,33.1
"historical",1903,56.9,80.3,59.9,54.4,87.4,28.2,95.5,66.9,20.9,64.3,43.7,59.4,85.3,66.1,105.4,44.5,37.8,65.5,42.4,20.9
"historical",1904,42.6,100.5,89,46.4,44.1,69.5,36.2,65.2,30.6,68.9,72,58.3,98.7,32.5,68.6,66.5,93.5,113,93.9,30.6
"historical",1905,61.3,104.1,122.9,68.5,70.9,48.4,74.9,41.5,35,86.6,45.8,45.9,96.5,21.4,77.6,72,112.1,108.4,36.4,21.4
"historical",1906,63.8,71.8,84,76.1,76.7,28.5,68.4,94.5,32.8,111.7,22,57.4,74.5,56.6,71,51.2,118.5,116,36.7,22
"historical",1907,77.3,130.6,84.7,29.7,66.4,50.8,81.9,140.1,30.1,61.8,49.1,55.2,51.6,59,46.5,44.9,89.8,111.6,48.4,29.7
"historical",1908,74,103.5,74.9,64.3,40.3,54.8,57.9,101.7,97,41.2,55.5,75.6,82.2,50.6,36.6,40.4,49.2,114.4,66.2,36.6
"historical",1909,52.7,103.9,57.2,38.2,33.3,37.4,67.4,72.2,83.5,57.7,44.7,54.5,109.3,41.8,75,52.5,60.1,80.9,73.5,33.3
"historical",1910,74.1,96.9,71.2,37.9,65.7,41.6,33.7,38.6,66.1,50.5,73.3,80.8,95,61.7,82.4,51.5,48.8,111.4,77,33.7
"historical",1911,48.8,100.6,75.4,44.7,65.8,34.9,64,80.3,70.6,46.6,47.1,56.2,90.5,34.3,55.8,62.7,112.9,74.4,74.8,34.3
"historical",1912,75.8,102.2,59.2,42.9,48,70.8,61.5,117.1,34.2,100.9,46.1,18.6,58.1,37.2,69.6,60.8,109.6,91.7,71.4,18.6
"historical",1913,88.8,95.4,76.6,59.8,58.8,49.3,112,78.8,32.3,51.4,42.6,78,95.7,53.2,101.6,56.7,74,71.6,70.6,32.3
"historical",1914,33,108.2,43.6,88.5,72.5,91.9,71.1,64.5,25.4,94.8,52.6,52.3,66.3,54.1,84.1,51.2,99.8,97.6,67,25.4
"historical",1915,55.7,99.5,60,67.1,44.6,59.2,67.6,81.9,40.6,66.9,47,72.8,70.9,37.3,100.9,60.8,81.3,55.1,53,37.3
"historical",1916,76.1,144.8,65.6,59.2,8.3,33.8,52.7,92.4,101.9,35.1,54.6,51.8,67.9,52.6,80,60.2,107.3,91,27.5,8.3
"historical",1917,97.4,66.2,98.1,67.2,77.1,88.4,59.4,54.3,63.9,66.9,46.8,51.5,53.2,58.7,91.8,43.7,73.8,78.3,31.8,31.8
"historical",1918,89,109.1,105.5,34.3,40.6,58.4,78.6,94,48.4,44.9,66.8,56.1,91.4,22.8,104.5,65,87.1,108.5,61,22.8
"historical",1919,54.7,101.3,108.6,10.1,55.1,75.1,98.3,81.7,52.7,69,58.1,65.8,46.7,34.5,71.5,48.6,39.4,102.3,49.5,10.1
"historical",1920,59.9,99.3,48.8,54.3,27.2,45.9,82,74.6,56.4,46.3,55,44,114.3,38.6,90,47.9,54.6,79,47.2,27.2
"historical",1921,78.9,120.8,101,45.8,74.4,26.6,68.9,109.8,63.6,69.5,67.8,69.3,88.4,66.8,69.5,41.7,65.4,68.3,82.3,26.6
"historical",1922,49.9,94,103.3,45.5,79.5,55.9,52.8,103.5,24.7,53,35,43.9,56.8,72.9,91.6,74.9,100.8,81.6,75.1,24.7
"historical",1923,50.4,137.4,64.1,27.4,75.4,68.5,68.3,134,87.5,64.9,68.2,73.5,83.8,51.6,127.6,69.8,70.7,99.1,32.1,27.4
