"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,-0.5,-5.8,0.1,-0.5,0.3,0.5,NA,-0.3,-0.9,0.2,2.8,-3,4.3,4.1,-1.5,-1.9,2.1,-2.2,-0.1,-5.8
"historical",1851,0.6,-6.4,-1.4,-0.9,0,1.4,-2.6,-0.4,-0.5,-0.3,3.1,-2.3,3.2,4.7,-0.6,-3.4,2.8,-3,0.4,-6.4
"historical",1852,0.2,-7.4,-0.8,1.1,-0.7,1.2,0,1.5,-2,0.4,2.4,-3.6,6.1,2.1,-0.5,-2.6,2.2,-3.9,-1.6,-7.4
"historical",1853,0.3,-6,-3.2,-1.2,0.3,1.3,-1,0.9,0.4,-0.7,1.2,-1.7,4.3,2.1,-0.3,-2.5,2.7,-1.5,-0.4,-6
"historical",1854,0.1,-4.5,1.5,-0.6,0.2,0.2,-2.1,-0.9,0.5,-1.1,1.6,-2.1,5.8,0.2,-1.6,-4.7,1.2,-2.5,-0.8,-4.7
"historical",1855,0.4,-5.3,-0.3,-0.1,0.8,1.7,-2.4,-0.4,1.4,0.2,1.8,-2.1,5.9,-0.6,0.1,-2.6,0.4,-1.3,0.3,-5.3
"historical",1856,0.2,-5.5,0.4,0,0.4,1.1,-1.6,2.1,-0.5,0.9,2,-1.1,7.4,1.6,1.2,-3.5,1.5,-1.8,-0.5,-5.5
"historical",1857,0.2,-4.7,-0.7,-0.6,1,-0.1,-0.8,0.3,-0.7,0.2,2.4,-2.4,5.2,1.9,0.7,-1.8,-0.3,-3,-0.6,-4.7
"historical",1858,-0.1,-7.9,0.9,-1.5,1.8,0.6,-1.2,2,-0.4,1.8,2.2,-1.6,3.4,2.4,1.1,-3,2,-3.8,0.3,-7.9
"historical",1859,-1.5,-7.5,-2.7,-1.3,1.6,1.4,-2.6,1.7,-1.7,0.5,2,-2.3,5.4,4.2,-0.1,-3.2,3.4,-3.7,0.8,-7.5
"historical",1860,-0.5,-1.5,0.7,0.6,-1,1.4,-0.9,1.3,-1.5,0.6,2.5,-1.6,6.4,2.5,-0.7,-3.7,3.4,-3.1,0.6,-3.7
