"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,107,168.2,102,91.1,90.8,106.4,NA,247.8,69.1,134.1,99.7,108.2,63.1,53.5,160.5,137.5,171.8,115.1,173.2,53.5
"historical",1851,185.7,217.8,71.2,128.8,171.6,169,94.7,231.9,35.1,96.3,78.4,118.8,107.5,43.2,127.4,90.2,54.7,157.6,110.5,35.1
"historical",1852,143.4,191,203.9,67.8,124.6,6.8,81.9,83.6,94.1,75.4,132,123.2,87.2,78.2,152.5,86.8,101,231.9,102.1,6.8
"historical",1853,84.9,253.4,139.1,97.6,139,72.2,100.3,174.7,52.1,139.8,43.1,87,144,98.1,65.5,108.1,166,144,34,34
"historical",1854,151,94.7,52.5,55.8,148,17.8,151.7,202.9,55.1,119.9,102.3,106.8,181.7,63.2,67.4,32.8,47.5,202.3,83.7,17.8
"historical",1855,53.8,168.2,164.7,90.8,83.4,229.8,199.5,203.1,73.4,87.9,107.5,127.5,113,59.1,125.2,101.7,188.3,101,166.1,53.8
"historical",1856,138.2,177.6,90.8,87.4,163.2,186,93.2,138.6,70,173.6,96.9,64.1,61.4,75.7,150.1,48.1,140.7,122,98.2,48.1
"historical",1857,150.4,142.6,44.3,106.3,31.8,157,121.9,168.6,75.3,186.3,92.2,124.5,105.9,74.6,70.6,119.4,199.8,99.8,78.7,31.8
"historical",1858,142.7,90.7,64,95.1,114.1,110.1,169.7,155.8,161.4,129.6,58.6,79.6,113.5,7.9,95.8,79.2,205.8,139.8,79.2,7.9
"historical",1859,51.5,275.1,145.9,99.3,128.1,108.6,21.9,55.6,52.7,91,120.2,125,172.4,64.8,85.1,83.1,102.5,146.7,112.7,21.9
"historical",1860,117.2,128.2,61,99.3,144.8,103.8,123.4,140.9,97.1,167.2,112.7,124.4,102.4,84,74.8,153.9,127,157.2,110.9,61
"historical",1861,147.1,102.8,113.8,67.1,84.8,177.4,40.7,122.6,135.4,132.2,41.2,109.7,84.6,104.8,129.1,139.3,198.1,139.5,51.8,40.7
"historical",1862,91.4,107.6,126.8,46,156.5,131,34.5,92.3,40.6,156.6,127.2,214,67.2,115.2,83.2,64.6,163,189.4,113.6,34.5
"historical",1863,54.6,249.5,54.6,28.3,58.4,142.5,43.3,47.8,114.7,138.9,105.7,89.4,124.8,51.7,54,57.9,107.2,111.7,146.3,28.3
"historical",1864,157,247.4,30,52.9,103.8,156.3,207.1,149.4,46.9,80.5,129.2,94.2,128.9,71,84.5,116.8,14.6,78.5,141.6,14.6
"historical",1865,91.7,25.9,146.5,79.9,148.7,144.4,127.6,187,88.1,115.7,95,128.2,104,73.6,118.9,59.1,75.2,206,99.1,25.9
"historical",1866,118.8,151.2,152.6,72.2,176.9,121.2,127.5,40,78.4,61.4,112.2,138.2,104.1,64.8,72.8,76,301.7,110.8,46.2,40
"historical",1867,83.2,147.6,97.8,87.6,172,147,126,176.8,96.3,57.5,56.4,70.9,67.5,51.5,128.9,64.7,155.1,109.5,136.5,51.5
"historical",1868,111.9,46.1,146.3,167.7,145.9,64.8,144.3,95.9,34.4,151.6,81.7,117.8,135.2,76.1,129.1,48.6,57.4,143.2,100.1,34.4
"historical",1869,135.1,78.9,121.3,64.3,46.7,131.6,100.9,299.9,82.9,132.5,52.9,40.4,97.3,56.9,138,92.5,105.9,178.5,127.1,40.4
"historical",1870,134.4,279.6,121.7,79.7,162.3,100.6,153.7,88.8,104.9,140.4,86.8,73.3,84.7,97,183.5,76.3,47.7,167.9,62,47.7
"historical",1871,139.4,195.5,170.3,51.3,81.6,155.1,119.8,121.7,67,167.5,112.4,127.6,55.7,55.3,192.3,30.7,185.1,116.2,118.8,30.7
"historical",1872,153.4,227,140.4,43.5,120.5,132.9,79.7,150.6,105.5,79.8,98,99.1,69.9,70.8,38.9,78.4,82.3,114.6,24.3,24.3
"historical",1873,195.4,204.6,158.7,99.5,137.6,77.5,10.6,131.5,55.9,52.1,61.4,95.9,96.2,111.9,38.4,63.9,193.6,204.7,113.9,10.6
"historical",1874,122.7,331.3,200.3,67.2,70.6,105.2,129.3,110.6,118.6,94.3,126.7,37.1,106.8,73.9,102.9,121.3,165.1,223.3,82.5,37.1
"historical",1875,77,221,145.2,108.4,142.3,101.4,49.2,154.3,18.4,160.6,37.8,108.1,98.5,56.7,110.6,63.5,33.6,79.9,120,18.4
"historical",1876,158.5,143.2,144.3,98.9,111.7,131.7,83.1,110.4,96.7,146,81.6,120.1,109.9,74.5,100,104.1,188.7,127.2,94.5,74.5
"historical",1877,97.3,78.2,91,55.2,85.5,188.1,56.3,218.5,58.3,73,139.9,104.3,91.5,52.3,177.8,55.6,153.7,159.5,53.7,52.3
"historical",1878,155.7,89.1,92.5,24.5,170.3,210.3,135.4,68.2,86.8,117.6,80,128.5,73.9,60.9,137.1,77.7,136.2,140,64.4,24.5
"historical",1879,88.3,84.5,70.4,86.7,124.3,121.4,139.4,89.1,44.8,68.7,74.5,98.1,66.7,66.1,158.3,64.4,144.5,198.6,131.6,44.8
"historical",1880,85.3,194.1,71.4,99.4,118,147.5,138.5,57.1,41.3,121.9,152.3,95.1,122.7,63.4,174.3,128,142.5,210.6,106.8,41.3
"historical",1881,196.7,184.3,132.2,88.2,177.5,37.8,87.5,226.9,66.4,171.8,93.3,190,70.2,60,50.7,57.6,130.9,111.5,136.2,37.8
"historical",1882,116.1,303.1,41.8,68.7,115.8,123.2,144.6,84.2,111.8,34.1,126.4,139.2,117.4,81.9,141.9,103.4,107.2,107.9,85.6,34.1
"historical",1883,137.8,117.6,98,81.4,188.8,168.1,114.5,199.3,44.4,222.6,121,121.6,75.2,58.5,52.1,160.5,71.7,198,72.6,44.4
"historical",1884,98.9,219,143.4,46.2,93.4,54.3,99,80.7,156.9,50.6,28.8,192.1,82.6,82.6,58.1,83.1,109.3,95.9,86.8,28.8
"historical",1885,95.7,160,144.5,83.8,128.6,150.3,182.1,129.5,98.1,114.4,66.3,76.6,96.6,27.1,78.4,67,122.4,121.3,10.6,10.6
"historical",1886,138.8,145.3,122.2,56.9,187.9,52.1,121.1,216.4,67.7,129.4,103.1,111.7,63.2,95.8,139.9,111.6,186.6,92.8,122.3,52.1
"historical",1887,153.4,78.9,211,69.1,149.6,162.5,97,151.8,122.5,216.9,87.5,90.1,108.4,29.4,163.4,120.8,218.5,19.3,136.3,19.3
"historical",1888,108.4,165.4,184.3,41,89.2,235.6,129.9,88.5,58.7,204.1,60.6,116.1,106.9,38.1,45.8,119.3,193.1,144.2,66.9,38.1
"historical",1889,160.1,164.2,100.6,85,105.3,181.5,52.4,212.4,94.2,129.5,105.9,74.4,97.9,70.3,96.5,138.9,139.9,151,91,52.4
"historical",1890,87,188,167,72.8,119.3,95.4,112.3,139.6,123.2,86.7,59.4,149.7,116.1,111.6,133.7,64,109.5,173.9,77.7,59.4
"historical",1891,139.7,165.2,158.6,107.4,184.6,173.6,144.5,210.7,40.5,88.8,73,105.6,105.3,43.9,20.1,118.2,80.6,60.9,114.8,20.1
"historical",1892,150,131.9,143.6,50.3,106.6,170.9,65.3,174.2,69.7,100.8,74.3,102,122.9,15.5,116.8,82.1,178.8,167.8,102.5,15.5
"historical",1893,105.7,212.4,187.8,49.3,153.3,127.2,104.7,89.7,25.2,63.4,100.4,157.5,71.9,96,116.7,81.6,203.4,175.3,144.1,25.2
"historical",1894,124.7,152.6,111.2,102.6,51.5,149.4,98,107.3,67,147.8,73.2,116.6,76.7,20.3,35.3,97.7,137.1,167,128.3,20.3
"historical",1895,77.7,206.8,113.5,82,112.9,52.2,89.4,137.7,104.8,153.7,98.7,164.4,107.7,35.3,80.7,162.4,117.1,172.1,100,35.3
"historical",1896,70.7,145.6,123.8,48.8,93.5,68,105.3,152.9,50.3,129.9,70.2,37.3,120.8,52.2,60.6,94.7,121.4,151.3,108.9,37.3
"historical",1897,143.9,219.5,126.2,88.7,122.1,105.1,138,150.1,124.5,67.2,110.7,144.9,125.7,69.1,78.3,51.3,189.4,151.6,276.6,51.3
"historical",1898,104.2,156.9,92.7,100.1,102.3,81.7,136.9,226,99.8,139,136,153.6,103,71.9,86.7,134.6,43.4,150.8,97.5,43.4
"historical",1899,92.5,277.9,144.3,57.8,113.9,79.1,165,140.6,92.6,133.3,60.8,114.7,104,68.5,156.7,73.1,61.4,106.2,128.6,57.8
"historical",1900,144.1,228.4,84.3,69.5,118,76.6,74.5,77.7,117.9,111.4,123,170.1,48.2,92.5,92.1,90,104.1,87.5,103.4,48.2
"historical",1901,38.1,142.7,104.3,42.6,136,188.4,82.5,168.1,63.7,138.4,119.3,109.2,79.2,65.1,80.6,43.7,127.8,164.6,85.9,38.1
"historical",1902,144.8,171.8,82.9,84.3,208.6,51.9,110.1,186.5,95,204.1,76.7,65,166.4,74.9,95.7,74.4,150.7,139.5,95.8,51.9
"historical",1903,144.4,263.1,152.8,54.1,189.3,172.1,65.1,77.5,75.7,88.1,93.1,160.5,106.9,42.7,91.7,115.8,94.2,109,178.9,42.7
"historical",1904,78.2,85.4,99.1,75.3,90.9,147.6,168.4,227.7,71.1,125.9,65.7,50.6,152.1,65.5,179.1,83.8,78.6,188,63,50.6
"historical",1905,194.7,94.2,117.7,70.8,76,200.5,120,96.3,116.9,106.6,54.2,90.1,127.3,102.7,102.3,98.5,68.6,213.8,25.5,25.5
"historical",1906,194.3,266.3,154.1,82.4,147.7,112.7,154,150.4,118.2,188.9,54.1,116.3,174.6,58.5,98.8,31.8,97.4,176.3,87.3,31.8
"historical",1907,123.9,106.9,78.3,76.4,53.8,150.2,151.3,231.7,70,289.4,91.5,103,89.2,60.5,31.5,92.9,32.8,166.9,88.6,31.5
"historical",1908,90,63,63,52,166.4,118.6,111.1,204.8,121.2,58.7,73.9,160.3,99.2,36.1,106.3,35.8,132.3,117.3,111.9,35.8
"historical",1909,126.1,191.5,130.3,55,134.4,254.7,76.9,194.3,58.8,89.1,109.8,73.8,112.3,42.9,87.5,68.8,197.8,131.2,121.6,42.9
"historical",1910,123.7,228.4,83.4,32.6,152,195.4,104.6,116.3,52.4,167.2,34.8,77.8,73.3,60,183.7,109.7,89.8,237.8,61.1,32.6
"historical",1911,127.4,218,116.8,52.4,20.6,138.6,144.3,159.6,145.8,120.7,87,146.9,66.7,97.1,67.8,54.1,214.3,153.3,56.8,20.6
"historical",1912,85.5,121.8,53.3,60.1,138.2,111.4,161.7,115.2,78.8,110.1,93,70.8,98.3,22.5,82.9,117.2,68.4,112.9,94.8,22.5
"historical",1913,125.3,74.7,142.9,37.6,191.2,94.1,96.6,189.8,52.8,210.2,71.4,84.5,127.3,67.2,135.7,92.7,144.8,57.1,57.1,37.6
"historical",1914,101.1,32.4,29.1,36.6,138,166.2,94.9,183.8,104.3,66.8,62.3,145.6,105.7,64.2,194.5,92.5,143.6,153.5,98.3,29.1
"historical",1915,91.1,102.1,124.5,43.8,105.2,126.8,92.7,143.1,73.1,126.1,118.6,145.7,32.9,48,33.5,100.8,130.6,47.5,46.4,32.9
"historical",1916,121.6,187.8,93.7,98.9,116.7,45.7,104.9,142.5,115.2,72.3,96.8,43.2,114.9,68.1,93.8,64.7,111.1,193.8,90,43.2
"historical",1917,81.8,238,202.8,80.7,138.9,137.4,52,143.3,97.2,114.5,34.4,113,104.8,71.8,138.6,79.1,97,132.9,49.8,34.4
"historical",1918,162.4,101,144.5,108.9,54.6,133.4,119.4,213.9,37.7,118.3,149.9,139.9,139.6,43.4,166.2,77.4,55.1,205.7,107.1,37.7
"historical",1919,111.8,118.2,94.5,83.3,193.9,183.2,105.8,110.3,106.5,179.7,96,109.4,79.8,21.2,68.2,161.5,184.8,159.1,137.9,21.2
"historical",1920,122.2,131.9,53.3,86.2,109.4,71,86.7,138,57.3,57.7,52,79.2,134.2,60.4,129.5,68.2,147,164.8,98.8,52
"historical",1921,118.7,133.5,119.6,61.4,134.8,177.4,143.3,149.1,68.8,177,148.5,148.9,165.2,52,75.5,75.5,147,197.4,74.6,52
"historical",1922,100.8,256.2,170.5,53.3,175.9,92,133.1,129.5,84.6,147.3,95.7,81,109.7,61.8,135.3,40,133.2,130.6,36.2,36.2
"historical",1923,56.8,105.6,186.7,125.1,149.8,63.8,101.7,58.8,17,90.4,111.2,126.9,165.2,56.1,75.6,72.7,63.3,81.8,93.2,17
"historical",1924,131.6,237.4,112.6,102.6,100.1,77.8,139.8,145.8,74.9,58.3,81.1,82.9,99.8,76,105.3,105.2,150.6,174,176.4,58.3
"historical",1925,90.2,220.6,108.5,65.4,110.5,118.4,71.4,95.3,124.7,169.5,98.1,134.4,99,70.4,133.6,63.8,155,207,46.7,46.7
"historical",1926,142.3,104.2,97.3,132.9,101.1,154.6,131.7,255.8,99.9,155.6,138.8,11.7,92.7,92.2,130.1,85.8,99.2,199.9,81.5,11.7
"historical",1927,74.2,136.9,81.9,131.1,144.5,168.2,21.7,262.5,90.3,143.1,50.7,85.3,71.2,109.9,78.8,109.9,128,87.2,136.5,21.7
"historical",1928,77.5,209.5,104.7,73.7,128.1,108,81.8,173.6,54.5,45.2,82.3,83.7,147.4,24.3,85,95.9,139.4,105.3,74.5,24.3
"historical",1929,143.2,207,74.4,65.7,144.7,149.2,218.2,252.9,94.9,68.7,105.1,36,99.5,152.8,125,50.3,136.7,179.5,116.9,36
"historical",1930,146.7,85.1,168.4,121.3,127.1,109.8,127.3,200.3,68.3,141.4,91.7,105.8,62.7,33.3,151.8,85.5,195.1,155.2,78.8,33.3
"historical",1931,137.7,183.9,111.5,99,63.8,120.2,44.5,62.8,74.8,81.2,137.3,77.8,89,108.3,166.2,15,141.2,124.3,75.8,15
"historical",1932,103.9,189.6,36.9,110.4,103.7,270.5,123.5,224,175.2,125.3,92.1,70.1,91.2,107.8,119.8,106.8,194.7,214.5,169.8,36.9
"historical",1933,74.1,105.9,99.8,67.7,87.7,110.4,145.4,170.6,73,63.4,62.5,102.3,117.7,50.7,161.6,32.3,107.4,144.3,96.2,32.3
"historical",1934,45.9,242.7,182.7,75.4,80.3,24,52,166.3,97.4,89.2,62.6,179.3,90,48,112.1,128.4,185.1,168.2,98.1,24
"historical",1935,107.7,249.5,106.5,81,133.8,198.7,135.6,192.9,86.7,150.7,130.3,41.5,102.9,54.8,61.1,148.7,74.4,175.9,92.4,41.5
"historical",1936,158.7,109,131.8,92.7,147.2,148,87.8,81.3,127.9,150.6,123.4,91.9,111.9,11,31.7,125.1,161.4,218.7,54.5,11
"historical",1937,193,108,63.8,32.4,144.5,105.3,60.2,193.4,64.3,85.7,27.3,144.9,126.5,47.1,57.4,103.2,124.8,118.1,83.8,27.3
"historical",1938,103,118.4,160.4,38,93.9,110.1,194,146,63.9,125.1,94.6,42.8,199,67.2,185.6,45.4,87.7,169.3,146.9,38
"historical",1939,130.4,84.8,139,95.7,170.5,130.4,112.1,130.6,55.9,123.5,111.8,49.3,90.4,75.6,61.6,81.6,68.5,120.9,48.1,48.1
"historical",1940,68,129.8,51.7,107.4,140.1,123.6,117.9,108,59.4,97,76.5,105.5,109.9,58,66.1,182.7,176.3,70.9,74.1,51.7
"historical",1941,131.8,303.9,102.4,82.2,81.2,88.8,141.6,227,87.8,56.2,47.7,106.3,117,100,139.1,139.7,66.2,84.2,67.3,47.7
"historical",1942,97,189,45,95.1,161.8,206.2,132,219.9,46.9,164.5,88.5,179.8,69.6,22.4,114.7,109.8,42.6,94.5,111.7,22.4
"historical",1943,92.7,162.3,98.4,91.5,79.1,139.2,124.3,167.4,55.2,67.2,109.9,63.2,136.5,80.9,147.9,140.5,103.9,92.8,97.3,55.2
"historical",1944,117.1,261.1,73.5,67.6,127,85,146.6,182.9,57.9,34.6,69.1,77.1,86.1,59.3,103.3,61.5,58.7,77,87.9,34.6
