"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,-2.1,-18.3,-7.1,-7.9,-3.3,-3,NA,-5.3,-5.4,-5.3,-3.7,-7.6,-0.7,-1.5,-6.7,-9,-4.7,-3.8,-6.1,-18.3
"historical",1851,-2.5,-14.8,-5.7,-8.5,-5.1,-2.6,-6.5,-6.5,-5.5,-3.2,-2.2,-5,-0.4,-2.9,-7.1,-8.7,-6,-6.1,-7.6,-14.8
"historical",1852,-3.2,-17.2,-6.1,-6.7,-4.5,-2.7,-8.5,-5.4,-6.9,-3.2,-4.5,-7.1,-0.9,-2,-6.5,-7.5,-3.2,-4,-6.1,-17.2
"historical",1853,-3.1,-14.5,-9.9,-6.5,-4.6,-3,-7.2,-4.8,-7.8,-3,-3.9,-7,1.5,-3,-9.4,-7.5,-3.1,-3.5,-6.9,-14.5
"historical",1854,-3.2,-15,-7.9,-6.7,-3.6,-5.4,-8.1,-6.5,-7.5,-6.6,-5.5,-5.5,1.1,-3.2,-5.8,-8.8,-5.9,-4.6,-6,-15
"historical",1855,-2,-17.2,-10,-6.4,-5.6,-4.7,-6.8,-6.6,-6.2,-4.1,-3.9,-8.5,-0.9,-3.2,-7.9,-8,-5.9,-4,-4.5,-17.2
"historical",1856,-2.2,-17.8,-7.9,-8.3,-5.1,-3.9,-7.4,-4.9,-7.3,-5.9,-2.2,-8,1.3,-1.3,-9.8,-7.7,-2.3,-4.8,-6.8,-17.8
"historical",1857,-4.1,-19.9,-5.2,-8.6,-4.4,-3.2,-6.6,-4.1,-5.8,-4.9,-2.7,-5.5,0.4,-1.9,-7.4,-7.5,-4.6,-4.6,-4.4,-19.9
"historical",1858,-2.9,-19,-7.3,-8.2,-4.7,-3.1,-6.5,-8.6,-5.7,-5.5,-4.5,-5.2,0.1,-3,-5.8,-6.9,-2.5,-4.3,-6.6,-19
"historical",1859,-2.4,-18.1,-9.7,-6.6,-3.7,-4.1,-6.9,-6.5,-7.4,-2.8,-3.7,-6.7,1.1,-1,-6.6,-8.5,-4.6,-4.1,-3.8,-18.1
"historical",1860,-4.3,-17.4,-5.6,-8.9,-5.7,-2.8,-8.7,-6.4,-7.4,-3.6,-2.6,-5.1,0.7,-2.6,-7.3,-8.6,-3.2,-4.8,-6.6,-17.4
"historical",1861,-2.4,-14.5,-7.9,-5.8,-4.6,-5,-7.8,-4,-6.9,-5.4,-3,-6.1,-0.6,-2.7,-6.7,-9.2,-5.8,-3.5,-5.8,-14.5
"historical",1862,-2.1,-17,-8.8,-7.2,-6.4,-4.3,-5.6,-5.3,-6.3,-1.8,-5.5,-5.5,-0.2,-2.4,-6.3,-8.4,-4.6,-4.6,-8.1,-17
"historical",1863,-3.1,-16.8,-7.8,-6.9,-4.1,-3.9,-9.1,-4.6,-5.3,-4.7,-4,-5.3,0.9,-2.4,-6.6,-8,-3.3,-3.6,-6.8,-16.8
"historical",1864,-4.3,-15.6,-7.9,-7.7,-4.8,-3.9,-8.3,-3.5,-7,-6.2,-3.8,-8.2,1.7,-1.9,-6.5,-7.8,-2.5,-5.9,-5.5,-15.6
"historical",1865,-3.3,-17,-6.3,-7.8,-2.6,-1.7,-7.9,-6.7,-6.5,-4.1,-4.4,-6,0.3,-2.2,-7.8,-7.8,-3,-5.7,-7.4,-17
"historical",1866,-4.3,-16.9,-5.9,-6.6,-4.8,-3.6,-10.2,-5.4,-7.6,-3.6,-4.1,-4.9,-0.9,-1.5,-6,-10.4,-5.4,-4.7,-5.4,-16.9
"historical",1867,-2.5,-15.3,-7.7,-10.9,-4,-2.7,-7.3,-5.9,-7,-7.3,-1.9,-7.2,-1.6,-2.4,-8.2,-7.4,-4.2,-3.7,-7.4,-15.3
"historical",1868,-2.3,-16.2,-7.5,-6.6,-3.2,-2,-7.9,-4.6,-8.1,-3.8,-2.8,-4.6,-1.8,-2.3,-6.4,-8.1,-3.1,-4.4,-4.9,-16.2
"historical",1869,-3.3,-14.4,-7.8,-8.9,-3.2,-3.3,-6.4,-6.3,-5,-1.4,-3.8,-6.9,0.8,-2.1,-7.3,-8.4,-2.9,-6.7,-4.8,-14.4
"historical",1870,-3.5,-15.2,-9.3,-6.2,-3.3,-3.7,-8.3,-5.2,-4.9,-2.9,-3.3,-6.9,0.7,-3.1,-6.9,-7.5,-3.3,-3.7,-6.2,-15.2
"historical",1871,-2.4,-15.3,-7.4,-6,-3.2,-1.8,-6,-5.3,-5.7,-3.4,-3.7,-7.2,-0.6,-4.3,-6.4,-6.2,-3.7,-1.9,-4.6,-15.3
"historical",1872,-3.9,-18.4,-10.6,-7.2,-3.7,-3.2,-6.1,-5.7,-6.5,-4.8,-4.3,-5.5,-0.4,-0.1,-7.2,-8,-2.7,-4.9,-7.6,-18.4
"historical",1873,-2.6,-18.6,-6.9,-7.1,-4.5,-2.2,-7.3,-5.3,-5.3,-4.7,-5.6,-7.8,0.7,-4.1,-8.7,-10.1,-2.5,-2.8,-4.5,-18.6
"historical",1874,-5.1,-14.7,-7.5,-7.7,-3.3,-2.6,-7.9,-6.3,-6.3,-4.2,-3.4,-7.5,1.7,-0.9,-6.8,-12.3,-3.3,-3.8,-6.4,-14.7
"historical",1875,-2.8,-15.1,-7.1,-6,-4.5,-2.4,-9.6,-6.3,-5.8,-5.6,-2.7,-7.2,0,-3.3,-8.2,-7,-2.7,-3.2,-6.1,-15.1
"historical",1876,-2.7,-18.7,-6.7,-6.9,-3.8,-4.2,-5.3,-4.9,-7.3,-3.8,-3.8,-8.1,0.3,-1.7,-5.8,-7.6,-3.7,-5,-4.6,-18.7
"historical",1877,-2.5,-18.1,-8.2,-6.8,-5.1,-3.1,-8.1,-4.2,-5.7,-5.3,-3.5,-6.1,0.8,-2.7,-7.1,-7.6,-4.3,-4.4,-4.3,-18.1
"historical",1878,-3.9,-15.9,-6.8,-7.4,-4.5,-3.1,-7.7,-4.8,-8.6,-5,-3.3,-6.2,-1.2,-1.6,-5.7,-7.5,-4.9,-5.5,-4.5,-15.9
"historical",1879,-3,-15.9,-6.9,-9.5,-4.8,-3.3,-7.7,-6,-6.4,-3.4,-4.3,-7.3,1.7,-2.6,-6.7,-7,-4.6,-2.2,-5.6,-15.9
"historical",1880,-1.9,-16.4,-6,-5.8,-2.8,-4.2,-5.3,-7.9,-4.8,-4.6,-4.1,-7.3,1.2,-0.3,-6.5,-6.3,-3,-5.5,-6.2,-16.4
"historical",1881,-2.2,-15.3,-4.1,-7.7,-3.5,-3.7,-9,-5,-7.3,-4.4,-4.5,-6,0.7,-2.3,-7,-8.4,-6.1,-4.5,-7.6,-15.3
"historical",1882,-2,-18.1,-8.2,-7.2,-4.3,-3.3,-6.7,-5.8,-7.1,-5.9,-5.5,-5.6,-2.5,-1.8,-5.1,-7.2,-4,-4.7,-5.2,-18.1
"historical",1883,-3.7,-15.1,-8.4,-8.1,-4.5,-4.5,-8.1,-5.5,-6.9,-5.6,-4,-6.4,0.9,-3.9,-6.1,-8.7,-2.7,-4.5,-5.2,-15.1
"historical",1884,-3.7,-16.2,-9.7,-7.8,-5.1,-2.8,-7.8,-6.8,-8.7,-6.7,-4.5,-5.4,0,-1.9,-8.5,-8.3,-2.7,-5,-5.8,-16.2
"historical",1885,-4.2,-21.4,-7.9,-6.8,-6.5,-4,-6.9,-3.7,-9.2,-2.2,-3,-5.8,-0.6,-1.7,-6.6,-7.9,-3.5,-5.1,-5.7,-21.4
"historical",1886,-3.8,-16.2,-7.5,-8.5,-5,-3.7,-8.9,-6.3,-8.3,-6.5,-3.4,-9.6,-1.2,-3.3,-6.7,-8,-4.1,-4,-4.5,-16.2
"historical",1887,-3.1,-14.8,-7.3,-8.1,-3.1,-4.5,-6,-4.9,-5.8,-5.5,-4.2,-6.1,0.5,-2.4,-7.7,-7.4,-2.8,-3.8,-5.2,-14.8
"historical",1888,-2.6,-17.6,-7.9,-7.3,-4.2,-3.4,-6.7,-5,-5.8,-7.3,-3.1,-7.5,1.2,-1.6,-10.7,-8.4,-3.2,-3.4,-5.5,-17.6
"historical",1889,-4.5,-17.5,-7.2,-7.6,-4.9,-3.2,-8.3,-4.8,-5.8,-4.9,-4,-8.4,0.9,-2.7,-8,-8.9,-2.8,-2,-8.1,-17.5
"historical",1890,-2.9,-19.5,-7.5,-8.2,-4,-4.3,-6.5,-5.3,-7.6,-4.1,-3.8,-8.2,0.4,-1.9,-6.3,-8.9,-5.7,-3.6,-7.2,-19.5
"historical",1891,-2.6,-18.3,-8.2,-8.3,-4.2,-2.3,-6.3,-5,-6.9,-6.8,-3.2,-5.9,-1.2,-2.7,-7.5,-10.8,-3.9,-4.4,-6.1,-18.3
"historical",1892,-3.4,-14.6,-8.9,-8.3,-7.1,-3.3,-7.1,-6.7,-6.4,-6.2,-4.8,-4.9,1.7,-3.1,-8.8,-7.5,-5.2,-4.1,-5.9,-14.6
"historical",1893,-2.9,-17.4,-8.1,-6.1,-5.1,-3.4,-7.4,-5.4,-6.5,-5.3,-3.6,-6.1,-0.3,-1.1,-7.1,-8.1,-3.6,-4,-5.2,-17.4
"historical",1894,-2.4,-16.4,-9.5,-9.7,-4,-2.5,-10,-4.6,-6,-5,-3.7,-7.3,1.3,-2.5,-7,-7.6,-3.1,-2.1,-6.7,-16.4
"historical",1895,-2.7,-16.8,-9.4,-7.7,-4.2,-4.4,-8.7,-5.5,-8.6,-6.3,-3.2,-5.5,-0.9,-3.1,-7.6,-8,-4.5,-2.6,-9.5,-16.8
"historical",1896,-3.8,-18.5,-7,-6.5,-5.5,-2.8,-9.5,-6.1,-5.4,-3.7,-4.1,-6.5,1.9,-4.9,-6.7,-8.3,-5.6,-4.9,-5.8,-18.5
"historical",1897,-2.3,-15.2,-10.1,-7.5,-4.1,-2.9,-7.4,-4.9,-8.9,-3.1,-4.3,-8.6,1.2,-1.4,-8.1,-7.2,-2.9,-2.5,-3.6,-15.2
"historical",1898,-2.8,-14.7,-7.7,-8,-3.3,-3.3,-8.1,-3.3,-6.7,-4.6,-5.1,-6.6,0.6,-2.6,-5.4,-6.8,-2.6,-4.2,-4.6,-14.7
"historical",1899,-1.7,-16.8,-7.7,-6.4,-2.9,-5,-9.2,-5.8,-7.1,-4.9,-5.6,-7.9,0.9,-1.8,-5.9,-7.1,-3.9,-2.6,-6.7,-16.8
"historical",1900,-2.8,-17.1,-6.9,-9.2,-4.3,-4.3,-7.3,-4.8,-6,-3.6,-2.9,-4.9,1.1,-2,-7.2,-8,-4.1,-3.8,-4.3,-17.1
"historical",1901,-2.3,-14.2,-7.5,-6.8,-3.7,-2.3,-6.3,-4.1,-7.5,-4.7,-6.4,-6.3,0.2,-2.8,-5.8,-5.9,-4,-3.6,-5.9,-14.2
"historical",1902,-3.9,-17.4,-7.7,-9.5,-2.6,-2.6,-5.9,-4.6,-5.3,-3.4,-5.2,-7.5,-1.8,-2.9,-7,-6.9,-4.2,-4.7,-6.5,-17.4
"historical",1903,-5.8,-19.4,-7,-7.1,-6,-2.6,-7.8,-6.5,-7.5,-2.6,-5.9,-7.9,0.7,-3.7,-7.2,-7.9,-4.5,-5.1,-6.9,-19.4
"historical",1904,-3.6,-16.8,-6.1,-6.7,-5.6,-3.5,-7.1,-6.2,-6.4,-4.7,-4.7,-5,1.3,-1.5,-5.4,-7,-3.6,-2.8,-7.2,-16.8
"historical",1905,-2.2,-15.1,-8,-6.4,-3.5,-3.9,-7.3,-5.4,-7.5,-5,-4.4,-6.5,-0.1,-1.8,-6.3,-9.4,-2.2,-5.1,-5,-15.1
"historical",1906,-1.5,-17.5,-9.5,-8,-4.4,-5.3,-6.8,-4.4,-5.4,-3.7,-7.3,-6.6,-0.1,-1.6,-8.3,-7.6,-1.9,-3.4,-4.7,-17.5
"historical",1907,-2.9,-14.6,-9.7,-7.3,-3.7,-2.5,-6.2,-3,-7.7,-6.8,-4.1,-6.2,-0.7,-2.7,-7.4,-8.3,-5.2,-3.4,-6.2,-14.6
"historical",1908,-2.2,-16.2,-7.3,-8.2,-4.3,-2.9,-5.9,-5.2,-6.6,-4.3,-3.5,-5.7,1,-2.1,-6.6,-10.2,-4.4,-5.1,-5,-16.2
"historical",1909,-3,-16.9,-6.5,-6.7,-5.3,-3,-7.6,-5.3,-5.3,-5.7,-2.8,-4.7,-1.6,-2,-6.9,-8.8,-4.2,-5.1,-4.9,-16.9
"historical",1910,-2.7,-13.4,-6.6,-7.8,-4.2,-2.6,-8.8,-5,-5.2,-4.6,-5.1,-8,0.2,-2.7,-7.4,-7,-4.3,-3.2,-4.7,-13.4
"historical",1911,-2.4,-14.3,-10,-5.4,-2.7,-3.2,-7.1,-6.3,-6.6,-3.3,-3.7,-8.3,0.2,-2.4,-6.6,-6.4,-3.5,-5.8,-5.6,-14.3
"historical",1912,-2.8,-14.7,-12,-7.9,-5.3,-5.2,-9.4,-5.4,-8.5,-4.2,-4,-7.8,-0.1,-3,-6.9,-8.5,-4.9,-5.1,-7,-14.7
"historical",1913,-3,-16.2,-6.5,-8.1,-5.8,-4.4,-5.5,-4.5,-6.4,-4.7,-2.6,-9.1,-0.2,-3.1,-7.8,-7.2,-4.1,-4.3,-6.2,-16.2
"historical",1914,-2.6,-13,-8.5,-7.9,-3.1,-3.8,-10.1,-3.1,-5.9,-4.8,-3.8,-6.7,-1.6,-1.3,-7,-6.9,-2.9,-4.5,-6.4,-13
"historical",1915,-2.5,-18.3,-6.8,-6.2,-3.4,-2.2,-7.4,-6.6,-7.2,-5.3,-3.3,-5.4,0,-3,-6.8,-7.4,-3.7,-3.8,-6.3,-18.3
"historical",1916,-2.5,-15.8,-6.5,-6.7,-4.3,-2.1,-6.4,-5.8,-6.5,-3.3,-2.3,-9.4,-0.6,-2,-8.1,-7,-3.5,-4.7,-8,-15.8
"historical",1917,-2.8,-17.2,-7.5,-8.6,-4.1,-4.3,-8.6,-6.1,-6.8,-5.4,-2.5,-6,-0.1,-2.2,-9.3,-8.3,-4.1,-2.3,-7.2,-17.2
"historical",1918,-2.1,-14.9,-7.8,-6.8,-4.2,-2.4,-7.3,-3.7,-6.4,-3.5,-4.2,-4.8,-1.6,-3.5,-7.8,-7.2,-3.8,-6.2,-9.1,-14.9
"historical",1919,-4.1,-14.6,-7.4,-9.5,-2.9,-3.7,-8.8,-4.9,-7.4,-3.3,-3.3,-4.9,0.9,-3.7,-7.2,-6.3,-3.7,-3.4,-7.1,-14.6
"historical",1920,-4,-17.1,-9.5,-6.3,-3.2,-2.1,-8,-3.5,-4.2,-4,-3.8,-8,0.2,-2.8,-6.6,-7.8,-3.1,-5.2,-7.3,-17.1
"historical",1921,-2.1,-16,-8.5,-7.7,-3.9,-5.9,-7.2,-3.5,-7.2,-6.5,-2.8,-5.2,1.8,-3.1,-6.4,-8.8,-4.7,-2.7,-5.2,-16
"historical",1922,-1.6,-18.4,-7.1,-6.8,-3.8,-3.7,-5.4,-5.5,-7.5,-3.7,-3.3,-8.8,0.9,-1.7,-8.8,-6.2,-3.5,-2.6,-4.1,-18.4
"historical",1923,-2.4,-15.2,-7.6,-8.6,-4.2,-3.1,-5.4,-5.1,-6,-4.3,-4.7,-7.4,-0.4,-2.9,-7.5,-6.4,-2.1,-5.3,-6.2,-15.2
"historical",1924,-3.4,-13.7,-8.3,-6.4,-4.1,-2.7,-7.4,-5.2,-4.8,-2.9,-3.4,-8.3,0.7,-1.9,-8.8,-7.7,-3.3,-3.8,-6.8,-13.7
"historical",1925,-3.1,-16.8,-9.9,-9,-3.7,-3.9,-5.5,-4.4,-7.2,-5.2,-2.8,-7.5,0.3,-2.4,-6.2,-9.4,-4.6,-4.3,-5.3,-16.8
