"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,31.2,52.4,57.4,37.9,25.6,22.8,NA,32,73.2,22.2,8.2,28.8,91.3,24.6,19.7,22.7,12,24.2,7.5,7.5
"historical",1851,1.5,36.5,24.1,15.1,41.4,27.3,28.8,48.9,29.1,50.4,38.5,37.3,87.2,60.8,41.9,14.2,80.2,3.5,37.3,1.5
"historical",1852,27,41,38.1,28,28.3,19.2,15.2,68.4,20.2,7,14.1,23.8,95.1,42.6,25.9,30.5,25.4,58,27.9,7
"historical",1853,46.7,22.3,112.1,35.3,11,2,27.5,12.7,32.5,29.9,18.4,7.8,86.6,54.7,28.1,49.6,25.2,24.7,25.8,2
"historical",1854,29.1,45.7,68.6,18.1,37.6,1.2,4.3,72.9,56.3,31.5,17.8,15.2,47.4,46.1,15.8,20.1,45.9,22.8,18,1.2
"historical",1855,40.3,49,112.7,14,8.2,40.2,13.4,73,63,56.6,13.1,33.8,87.7,47.8,10.2,46.7,24.4,27.9,48.9,8.2
"historical",1856,20.2,21.8,89.8,24,41.7,32.4,34.9,64.3,60.3,4.3,17.3,19.9,55.7,29.2,17.9,27.3,44.3,48.9,40.6,4.3
"historical",1857,19,35.4,81.9,20.8,19.9,6.9,10.5,37,46.4,43.9,8.7,14,52.2,34.1,31.4,31.1,22.5,56,11.9,6.9
"historical",1858,51.3,49.6,68.3,16.8,8.2,20.8,8.3,64.4,8.9,73.7,15.2,27.6,55.9,20.2,15.7,45.3,24.6,20.1,6.9,6.9
"historical",1859,24.5,23.5,34.4,15.8,13.4,38.9,36.1,47.5,41.9,5.5,20.3,23.9,43.8,30.7,15.7,8.2,16.6,25,9.2,5.5
"historical",1860,13.3,13.8,30.7,48.6,19.7,19,26.4,55.9,41.9,67,15,19.4,40.6,42.3,8.4,15.1,27.3,41.8,13.2,8.4
"historical",1861,16.6,36.5,49.9,15.8,15.1,31.6,13.1,29.3,47.6,28.6,20,50.1,73.6,31.5,14.2,16.2,54.8,25.5,21,13.1
"historical",1862,28.6,31,25.1,27.4,28.9,27.8,12.1,32.6,51.8,28.2,18.6,46.5,84.3,42.4,22.9,23.5,22.7,25.8,1.5,1.5
"historical",1863,25.1,51.4,41.5,17,35.8,44.3,9.8,45.1,68.2,1.5,18.7,14.1,59.3,23.8,7,38.3,27.7,17.9,41,1.5
"historical",1864,38.7,53.6,79.6,4.5,18,30.2,35.4,30.5,41.3,45.6,15,11.4,74,57.5,34.1,25.2,81.8,28.2,30.7,4.5
"historical",1865,9,32.1,30,38.5,27.9,15.2,16.5,54.4,7.8,11.7,13,13.7,59.4,27.7,14.1,26.1,25.9,9.7,13,7.8
"historical",1866,5.8,33.4,110.6,36.4,28.5,7.1,21.6,69.8,35,19,16.5,46.7,77.6,11.5,6.5,27.1,31.5,10,23.5,5.8
"historical",1867,13.5,25.8,30.9,25.3,30.7,21.5,21.7,51.9,29.1,35.5,14.8,13.8,44.5,32.1,24.5,40.2,49.4,47.1,12.6,12.6
"historical",1868,33.2,35.2,62.5,20.2,7.4,26.5,16,64.2,20.2,28.7,17.7,42.1,75,31.2,18.3,10.6,74.4,42.6,21.3,7.4
"historical",1869,41.2,19.9,76.3,63.8,27.3,18.7,21.9,48.2,77.1,22.8,21.2,5.8,50.5,28,12.3,62.6,39.8,48.2,11.7,5.8
"historical",1870,25.6,23.1,37.3,34.2,47.7,0.7,28.5,63.5,74.2,31.7,6.4,19.3,45.4,19.1,5.7,30.2,48.6,20.1,18.9,0.7
"historical",1871,29.8,13.6,131.8,14.6,24.7,6.4,27.8,37.8,53.4,50,15.3,36.1,43.7,32.5,13.5,31.3,48.8,23.4,15.1,6.4
