"scenario","Year","ACCESS.ESM1.5","AWI.CM.1.1.MR","BCC.CSM2.MR","CanESM5","CNRM.CM6.1","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","HadGEM3.GC31.LL","INM.CM5.0","IPSL.CM6A.LR","MIROC.ES2L","MIROC6","MPI.ESM1.2.HR","MPI.ESM1.2.LR","MRI.ESM2.0","NESM3","UKESM1.0.LL","ensemble"
"historical",1850,122.6,64.1,95.9,58.1,27.7,28.4,NA,138.9,57.5,144.1,104.8,85.6,241.1,125.4,75.8,92.8,63.2,108.2,96,27.7
"historical",1851,157.7,174.6,86.6,46.4,42.3,30,53.2,130.7,54.5,109.1,109.7,103.7,213.8,98.8,51.5,83.9,63.2,76.5,80.3,30
"historical",1852,161.8,107.2,87.8,66.4,50.6,62,55.5,122.6,74.3,95.8,88.5,102,225,119.5,105.4,70.3,71.8,94.5,78,50.6
"historical",1853,141.8,95.3,67.9,67.8,44,46.8,67.3,156.1,68.5,103.7,109.8,102.3,236.1,74.2,72.9,79.7,86.7,92.5,86,44
"historical",1854,109.1,162.3,105.3,65.8,50.8,54.1,71.8,142.7,76.1,78.9,124.6,107.5,233.2,109.7,103.8,80.1,84.5,123.6,76.9,50.8
"historical",1855,141.6,132.9,76,58.4,61.9,46.7,70.4,137.8,50.9,88.3,106.9,71.6,182.1,85.5,63.8,92.6,61.3,95.2,69.2,46.7
"historical",1856,134.4,92.2,69.4,61.5,47.9,44.3,51.7,141.1,61.9,108.7,67.2,75.9,196.3,107.6,68.3,112.5,58.7,90.3,69.9,44.3
"historical",1857,121.2,83.7,108.5,71.6,45.5,40.1,60.3,142.9,67.8,105.3,106.7,101.3,262.7,107.2,82,66.7,93.9,121,81.4,40.1
"historical",1858,109.9,116.4,116.9,59.4,35.4,30.8,48.6,161.5,70.8,82.4,121.1,75.5,208.9,99.3,59.6,55.1,70.1,82.4,103.2,30.8
"historical",1859,134.4,106.1,82,44.7,45.2,31.5,66.1,152.6,59.5,112.6,110.8,81.6,229.3,99.5,85.5,80,39.1,121.3,84.6,31.5
"historical",1860,117.5,103.7,115,58.2,26,45,37.1,133,53.6,131.3,97.1,100.4,220,99.1,83.2,87.7,83,84.7,71.1,26
"historical",1861,143.9,65.3,63.7,66.1,42.1,44.9,37.4,129,44.8,100.6,102.7,95.5,236.9,117.9,105.6,95.1,93.8,78.3,81.7,37.4
"historical",1862,145.5,96.1,125.1,75.2,37.8,37,54.8,120,48.9,138.7,83.1,62.5,260.9,124,86,90.3,81.6,87.4,67.9,37
"historical",1863,124.1,61.8,75.5,64.6,31.9,20.5,55.5,124.4,69.3,125.1,126,63,204.7,118.1,95.7,87.4,58.5,130.1,61.6,20.5
"historical",1864,143,106.6,72.5,36.1,65.9,37.2,70,110.8,69.2,110,93.8,94.2,228.7,95.6,89.1,70.8,95.5,135.4,80.1,36.1
"historical",1865,125.5,85.6,122.2,60.5,37.3,41.6,54,140.2,74.2,79.6,66,96.5,137.3,71.7,47.3,73.8,89.2,119.9,73.9,37.3
"historical",1866,92.6,147.3,61.6,76.4,42.5,59.2,79.9,106.8,70.9,105.7,70,98.1,234.6,112.5,79.1,109.7,78.4,94.2,75.9,42.5
"historical",1867,109.6,83.1,92.2,69.6,50.3,46.6,79.2,112.3,42.4,132.7,95.2,63.4,220,72.5,73.7,76.8,75.3,73.8,58.2,42.4
"historical",1868,126,129.8,93.9,57.1,55.2,43.9,64.8,178.6,85,89.9,104.2,73,230.7,90.4,109.7,93.5,53,135.1,66.4,43.9
"historical",1869,135.3,52.4,73.7,40.4,40.3,50,62.4,148.7,88,74.2,117.3,76.9,243.3,85.7,73.5,86.2,64.9,112.6,94.3,40.3
"historical",1870,113.7,136.9,84.4,64.7,66.2,17.9,61.9,112.5,64.6,112.8,110.2,96.9,247,97.5,50,69.8,74.1,130.2,88.6,17.9
"historical",1871,154.4,92.7,91.1,55.6,60.4,52,53.8,112.7,73.2,103.8,97.7,92.2,210.2,115.4,103.5,80.1,64.3,133.5,75,52
"historical",1872,127.9,74.6,103.6,58.3,40.5,49,62.3,98.5,52.6,159.9,72.5,90.8,151.4,109.2,82.9,100.8,83.5,91.3,53.1,40.5
"historical",1873,139.5,82.9,114.1,59.5,63.4,32.7,65.7,161,59,103.3,70.5,93.3,225.3,102.7,100.3,58.9,86.7,138.2,77.1,32.7
"historical",1874,122.5,152.4,145.2,58.1,45.8,50.9,77.8,137.7,82.5,106.1,90.5,100.6,201,111.4,102.6,66.4,104.9,82.3,89.4,45.8
"historical",1875,124.5,60.3,63.2,63.5,47.7,52,86.4,100.7,56.9,138.8,105.2,97.1,270.1,111.2,89.6,62,79.2,135.7,46.6,46.6
"historical",1876,146.1,103.1,69.8,55.2,41.7,34.3,78,110.4,59.6,122,121.4,84.8,178,111,71.1,85.7,65.9,69.7,69.9,34.3
"historical",1877,141.2,112.3,80.3,55.1,65.3,49.5,70.2,155.4,54.7,114.3,103.5,80.7,234.2,80.7,88.2,45,54.5,106.1,77.3,45
"historical",1878,126.8,92.6,101.8,46.1,66.9,47.1,71.4,100,58.9,88.3,95.3,80.3,248.7,90.1,91.8,108.7,66.3,153.9,51.4,46.1
