"Year","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Tave_wt","Tave_sp","Tave_sm","Tave_at"
1901,-10.7428571428571,-6.76190476190476,0.104761904761905,7.98095238095238,16.2238095238095,16.3714285714286,20.1333333333333,20.0619047619048,12.8333333333333,9.9952380952381,-1.46666666666667,-6.48095238095238,-20.5285714285714,-18.7095238095238,-11.3428571428571,-3.69047619047619,2.51428571428571,4.08095238095238,7.33333333333333,7.08095238095238,1.38571428571429,-0.647619047619048,-11.0761904761905,-15.6761904761905,38.8095238095238,24.6190476190476,24.952380952381,24.952380952381,45.0476190476191,78.6190476190476,66.1904761904762,36.7142857142857,42.0952380952381,33.5714285714286,31.3333333333333,33.8571428571429,-15.6357142857143,-12.7357142857143,-5.61904761904762,2.1452380952381,9.36904761904762,10.2261904761905,13.7333333333333,13.5714285714286,7.10952380952381,4.67380952380952,-6.27142857142857,-11.0785714285714,-7.9952380952381,8.1031746031746,18.8555555555556,7.12063492063492,-18.3047619047619,-4.17301587301587,6.16507936507936,-3.44603174603175,97.2857142857143,94.952380952381,181.52380952381,107,-13.15,1.96507936507937,12.5103174603175,1.83730158730159
1902,-8.48095238095238,-3.46190476190476,-1.72380952380952,7.9952380952381,13.9904761904762,17.0809523809524,19.652380952381,19.5761904761905,14.3904761904762,10.0666666666667,-4.76666666666667,-9.9952380952381,-18.7952380952381,-13.5142857142857,-11.447619047619,-4.55714285714286,1.61428571428571,3.97619047619048,6.64285714285714,5.8,1.28571428571429,-1.49047619047619,-13.6142857142857,-20.2952380952381,30.2380952380952,30.9047619047619,28,20.8571428571429,57.7619047619048,78.8571428571429,88.0476190476191,58.7142857142857,29.2857142857143,24.2380952380952,33.5714285714286,33.2857142857143,-13.6380952380952,-8.48809523809524,-6.58571428571429,1.71904761904762,7.80238095238095,10.5285714285714,13.147619047619,12.6880952380952,7.83809523809524,4.28809523809524,-9.19047619047619,-15.1452380952381,-6.14126984126984,6.75396825396825,18.7698412698413,6.56349206349206,-15.9952380952381,-4.7968253968254,5.47301587301587,-4.60634920634921,95,106.619047619048,225.619047619048,87.0952380952381,-11.068253968254,0.978571428571429,12.1214285714286,0.978571428571429
1903,-8.83809523809524,-6.28571428571429,-1.42380952380952,8.01428571428571,13.7380952380952,20.2047619047619,19.3190476190476,18.6809523809524,12.5714285714286,8.36666666666667,-4.0047619047619,-5.62857142857143,-19.4047619047619,-18.0857142857143,-14.8047619047619,-4.96666666666667,-0.0761904761904762,6.00952380952381,6.7,6.02380952380952,1.10952380952381,-2.18571428571429,-13.2285714285714,-14.6333333333333,30,20.047619047619,21.1904761904762,27.8571428571429,41.4761904761905,79.0476190476191,88.3809523809524,61.2380952380952,59.8095238095238,29.2380952380952,43.3333333333333,23.2380952380952,-14.1214285714286,-12.1857142857143,-8.11428571428571,1.52380952380952,6.83095238095238,13.1071428571429,13.0095238095238,12.352380952381,6.84047619047619,3.09047619047619,-8.61666666666667,-10.1309523809524,-8.37301587301587,6.77619047619048,19.4015873015873,5.64444444444444,-19.2619047619048,-6.61587301587302,6.24444444444444,-4.76825396825397,83.3333333333333,90.5238095238095,228.666666666667,132.380952380952,-13.8174603174603,0.0801587301587305,12.8230158730159,0.438095238095238
1904,-10.4047619047619,-11.5047619047619,-4.32857142857143,9.52857142857143,14.7571428571429,18.0857142857143,20.3952380952381,19.8714285714286,14.1380952380952,9.18095238095238,1.06190476190476,-7.14285714285714,-20.8142857142857,-22.5952380952381,-14.4285714285714,-3.47619047619048,1.14285714285714,4.4,6.11904761904762,5.36190476190476,1.03333333333333,-1.04285714285714,-9.14761904761905,-16.5761904761905,32.0476190476191,33.3333333333333,49.5714285714286,19,40.7142857142857,73.3809523809524,78.5714285714286,37.9047619047619,44.4761904761905,27.8571428571429,25.952380952381,26.5238095238095,-15.6095238095238,-17.05,-9.37857142857143,3.02619047619048,7.95,11.2428571428571,13.2571428571429,12.6166666666667,7.58571428571429,4.06904761904762,-4.04285714285714,-11.8595238095238,-9.17936507936508,6.65238095238095,19.4507936507936,8.12698412698413,-19.347619047619,-5.58730158730159,5.29365079365079,-3.05238095238095,88.6190476190476,109.285714285714,189.857142857143,98.2857142857143,-14.2634920634921,0.532539682539682,12.3722222222222,2.53730158730159
1905,-9.99047619047619,-7.26190476190476,3.25238095238095,9.74761904761905,16.0380952380952,18.8047619047619,21.7190476190476,20.0904761904762,14.247619047619,5.61904761904762,0.509523809523809,-6.42380952380952,-20.252380952381,-19.5,-9.22380952380952,-4,0.252380952380952,4.40952380952381,7.17619047619048,6.09047619047619,1.23809523809524,-5.12380952380952,-9.51904761904762,-14.247619047619,28.4285714285714,18.7142857142857,26.047619047619,15.5238095238095,52,58.9523809523809,54.9047619047619,53.0952380952381,50.3333333333333,30.952380952381,29,13.7142857142857,-15.1214285714286,-13.3809523809524,-2.98571428571429,2.87380952380952,8.1452380952381,11.6071428571429,14.447619047619,13.0904761904762,7.74285714285714,0.247619047619047,-4.5047619047619,-10.3357142857143,-8.13174603174603,9.67936507936508,20.2047619047619,6.79206349206349,-18.7761904761905,-4.32380952380952,5.89206349206349,-4.46825396825397,73.6666666666667,93.5714285714286,166.952380952381,110.285714285714,-13.4539682539683,2.67777777777778,13.0484126984127,1.16190476190476
1906,-9.35238095238095,-4.94761904761905,1.4,11.1190476190476,14.5380952380952,18.6714285714286,23.4904761904762,19.9952380952381,14.6095238095238,8.88095238095238,-3.17142857142857,-10.3047619047619,-19.3619047619048,-15.5,-12.947619047619,-2.2952380952381,0.819047619047619,4.6,7.86666666666667,6.13333333333333,1.54285714285714,-1.1952380952381,-11.9714285714286,-19.6333333333333,37.3333333333333,17.9047619047619,15.047619047619,17.0952380952381,44.8571428571429,104.857142857143,60.5714285714286,42.1904761904762,42.0952380952381,31.8095238095238,45.9523809523809,54.5238095238095,-14.3571428571429,-10.2238095238095,-5.77380952380952,4.41190476190476,7.67857142857143,11.6357142857143,15.6785714285714,13.0642857142857,8.07619047619048,3.84285714285714,-7.57142857142857,-14.9690476190476,-6.90793650793651,9.01904761904762,20.7190476190476,6.77301587301587,-16.3698412698413,-4.80793650793651,6.2,-3.87460317460317,68.9523809523809,77,207.619047619048,119.857142857143,-11.6388888888889,2.10555555555556,13.4595238095238,1.44920634920635
1907,-19.0190476190476,-7.37142857142857,-2.9952380952381,5.74761904761905,13.0714285714286,18.2190476190476,20.0761904761905,18.1619047619048,13.8952380952381,9.85714285714286,-0.733333333333333,-6.34285714285714,-28.4190476190476,-19.4190476190476,-15.7714285714286,-6.43333333333333,-1.37619047619048,4.41428571428571,6.40476190476191,4.72857142857143,1.07142857142857,-2.7,-11.347619047619,-15.4952380952381,46.5238095238095,32.1904761904762,33.3333333333333,15.2857142857143,32.2857142857143,98.3809523809524,83.0476190476191,49.4761904761905,45.2857142857143,19.9047619047619,19.1428571428571,20.8571428571429,-23.7190476190476,-13.3952380952381,-9.38333333333333,-0.342857142857143,5.84761904761905,11.3166666666667,13.2404761904762,11.4452380952381,7.48333333333333,3.57857142857143,-6.04047619047619,-10.9190476190476,-12.231746031746,5.27460317460317,18.8190476190476,7.67301587301587,-22.4904761904762,-7.86031746031746,5.18253968253968,-4.32539682539683,133.238095238095,80.9047619047619,230.904761904762,84.3333333333333,-17.3611111111111,-1.29285714285714,12.0007936507936,1.67380952380952
1908,-6.85714285714286,-4.86190476190476,-3.13809523809524,7.75238095238095,14.452380952381,17.4428571428571,21.4952380952381,18.6952380952381,14.3428571428571,6.42380952380952,-3.10952380952381,-8.48571428571429,-18.1428571428571,-16.3190476190476,-16.6238095238095,-5.22857142857143,0.304761904761905,4.63333333333333,6.96666666666667,5.35714285714286,1.67142857142857,-2.82380952380952,-11.7571428571429,-19.1904761904762,28.6666666666667,28.4761904761905,40.8095238095238,13.6190476190476,50.3333333333333,84.0952380952381,54.2857142857143,47,43.3333333333333,31.8095238095238,25.0952380952381,24.4285714285714,-12.5,-10.5904761904762,-9.88095238095238,1.26190476190476,7.37857142857143,11.0380952380952,14.2309523809524,12.0261904761905,8.00714285714286,1.8,-7.43333333333333,-13.8380952380952,-6.02063492063492,6.35555555555556,19.2111111111111,5.88571428571429,-16.652380952381,-7.18253968253968,5.65238095238095,-4.3031746031746,78,104.761904761905,185.380952380952,100.238095238095,-11.3365079365079,-0.413492063492064,12.431746031746,0.791269841269841
1909,-16.5142857142857,-11.4666666666667,-0.0238095238095238,3.82857142857143,13.3809523809524,19.352380952381,20.4666666666667,18.952380952381,15.1857142857143,7.24761904761905,-6.22857142857143,-10.0714285714286,-25.8380952380952,-22.052380952381,-11.8714285714286,-7.84285714285714,-0.080952380952381,4.56190476190476,6.8,5.59047619047619,2.32380952380952,-1.9952380952381,-15.3428571428571,-21.5333333333333,33.4285714285714,28.0952380952381,22.8095238095238,21.952380952381,39.6190476190476,63.2857142857143,95.5238095238095,48.3809523809524,30.5238095238095,32.1904761904762,41.1428571428571,34.1904761904762,-21.1761904761905,-16.7595238095238,-5.94761904761905,-2.00714285714286,6.65,11.9571428571429,13.6333333333333,12.2714285714286,8.7547619047619,2.62619047619048,-10.7857142857143,-15.802380952381,-12.1555555555556,5.72857142857143,19.5904761904762,5.4015873015873,-22.3603174603175,-6.5984126984127,5.65079365079365,-5.0047619047619,85.9523809523809,84.3809523809524,207.190476190476,103.857142857143,-17.2579365079365,-0.434920634920635,12.6206349206349,0.198412698412698
1910,-9.40952380952381,-9.11428571428571,4.1952380952381,10.5619047619048,15.3190476190476,18.7095238095238,21.0857142857143,18.2095238095238,14.2142857142857,8.86666666666667,-5.18095238095238,-7.12380952380952,-19.4285714285714,-22.1619047619048,-8.14285714285714,-3.07142857142857,0.547619047619048,4.2047619047619,7.16666666666667,4.72380952380952,1.69047619047619,-2.1,-12.7761904761905,-17.1952380952381,18.6666666666667,17.6190476190476,22.7619047619048,18.6666666666667,36.1428571428571,59.6190476190476,62.8571428571429,37.2857142857143,43.4761904761905,29.1904761904762,40.3809523809524,23.047619047619,-14.4190476190476,-15.6380952380952,-1.97380952380952,3.7452380952381,7.93333333333333,11.4571428571429,14.1261904761905,11.4666666666667,7.95238095238095,3.38333333333333,-8.97857142857143,-12.1595238095238,-9.53174603174603,10.0253968253968,19.3349206349206,5.96666666666667,-21.0412698412698,-3.55555555555556,5.36507936507937,-4.3952380952381,70.4761904761905,77.5714285714286,159.761904761905,113.047619047619,-15.2865079365079,3.23492063492063,12.35,0.785714285714285
